village,wealth_reported,education_years
0,1.7957,7.9145
0,0.1017,7.8706
0,-0.9673,5.3652
0,1.4454,7.762
0,0.679,8.3506
0,0.3583,6.898
0,-0.8661,4.6435
0,-0.1838,5.8894
0,-0.3171,5.913
0,-1.9564,4.6821
0,-0.8112,7.405
0,-0.7356,6.5535
0,-0.0063,6.9639
0,-1.1874,5.9212
0,1.9325,6.6851
0,-0.0585,6.7599
0,0.8568,6.3906
0,-1.644,3.3015
1,2.0283,8.4288
1,0.7669,8.7704
1,1.5318,7.003
1,-0.4197,4.6767
1,2.5106,7.9605
1,0.7547,5.7311
1,0.0344,6.1247
1,-2.9619,3.8771
1,1.6317,5.6027
1,0.3817,6.037
1,0.5923,5.6093
1,-0.4465,5.1487
1,-0.0246,6.9354
1,-1.2407,3.3766
1,-1.7961,3.5641
2,1.0488,7.3335
2,1.3793,7.1998
2,1.1992,7.4034
2,-0.5542,6.938
2,0.0973,7.3442
2,0.759,6.7982
2,0.2463,5.2577
2,-0.3117,6.7503
2,-1.8548,6.4808
2,-0.8198,5.3532
2,0.8259,8.3082
2,1.0381,5.8063
2,-1.8436,3.6436
2,1.2825,8.7059
2,-1.9766,4.1326
2,1.2448,7.6123
2,-1.813,5.6207
2,-1.4193,9.1828
2,0.121,7.2935
3,1.7367,4.1783
3,-1.6051,2.4909
3,-0.1175,3.4079
3,0.1527,4.5394
3,2.0585,6.5666
3,2.3766,7.7535
3,0.9056,4.5247
3,0.3341,3.8481
3,-0.9887,3.3598
3,-2.3614,4.5722
3,-0.0608,6.6771
3,0.7162,7.227
3,0.455,6.0557
3,0.734,7.0324
3,-0.4094,6.8013
3,-1.1752,3.1011
4,-0.0648,6.6613
4,0.0846,5.7347
4,-1.078,3.1467
4,-1.5566,6.3467
4,-0.6982,3.485
4,-0.4514,4.8764
4,1.9696,5.1559
4,0.6406,4.0297
4,-1.4376,1.9718
4,-0.7768,4.9476
4,-0.3067,8.2611
4,-2.3885,2.5644
4,-1.2956,6.9556
4,1.0727,6.7689
4,-2.5037,3.2294
4,2.5031,7.5637
4,0.3499,4.8832
4,-0.5437,5.8201
5,-0.3371,5.36
5,-1.2064,6.426
5,-0.071,5.4982
5,-2.4514,3.2019
5,-0.347,7.6667
5,0.0221,5.3983
5,-0.5803,4.3387
5,1.7079,7.6189
5,-1.2422,3.0571
5,-0.7285,4.645
5,0.7123,5.9328
5,-0.2395,6.3899
5,0.2769,7.8024
5,0.4725,6.9327
5,-0.9398,6.2066
5,0.9738,6.9141
5,0.4323,6.9193
5,-1.5577,2.496
5,1.0207,7.1299
5,2.0649,8.0118
5,0.8384,6.8728
6,-0.4162,5.6025
6,-1.1722,6.458
6,1.0309,6.1519
6,-1.3008,4.8608
6,-0.5297,5.1771
6,-0.3876,7.7223
6,0.6952,6.9983
6,-1.2657,6.5265
6,-0.6546,6.2771
6,-0.7092,8.1058
